epoch metrics/precision(B) metrics/recall(B) metrics/mAP50(B) metrics/mAP50-95(B)
302 0.82781 0.79553 0.85632 0.73313
303 0.82107 0.80063 0.85722 0.73679
304 0.82088 0.81293 0.8548 0.73701
305 0.83451 0.80018 0.85435 0.73547
306 0.84565 0.79877 0.86326 0.74174
307 0.8485 0.79005 0.86555 0.74239
308 0.8274 0.80893 0.86386 0.74063
309 0.79862 0.82534 0.85656 0.73758
310 0.79554 0.80041 0.85271 0.73301
311 0.79801 0.79533 0.84625 0.72683
312 0.80083 0.79665 0.85154 0.73439
313 0.829 0.77731 0.85298 0.7333
314 0.81716 0.7888 0.85416 0.73403
315 0.79371 0.79782 0.84996 0.72786
316 0.77861 0.80881 0.84998 0.73016
317 0.77033 0.82044 0.84981 0.7314
318 0.78283 0.80825 0.84998 0.73382
319 0.81077 0.78529 0.84947 0.73316
320 0.80355 0.80541 0.8449 0.72819
321 0.83031 0.79316 0.84862 0.73198
322 0.82605 0.78889 0.85354 0.73439
323 0.82262 0.79615 0.85517 0.73397
324 0.81809 0.80606 0.8499 0.72765
325 0.81069 0.81426 0.84963 0.72948
326 0.80447 0.81049 0.84887 0.7292
327 0.79539 0.80814 0.84361 0.72722
328 0.79246 0.81143 0.84542 0.72854
329 0.8075 0.79465 0.8441 0.7276
330 0.80783 0.79865 0.84634 0.729
331 0.80241 0.79794 0.84847 0.7304
332 0.80932 0.79754 0.84825 0.73021
333 0.79486 0.80416 0.84973 0.72949
334 0.80067 0.7938 0.84602 0.7262
335 0.79836 0.79293 0.84083 0.72375
336 0.7971 0.79222 0.83891 0.72072
337 0.79238 0.80073 0.83969 0.7209
338 0.80456 0.78963 0.84113 0.72136
339 0.79799 0.79445 0.8389 0.71836
340 0.79857 0.79104 0.83933 0.71736
341 0.79773 0.78985 0.83628 0.71474
342 0.80137 0.77905 0.83402 0.71496
343 0.82539 0.76011 0.83708 0.71783
344 0.80681 0.78269 0.83605 0.71795
345 0.82924 0.76016 0.83634 0.72161
346 0.8328 0.77008 0.84019 0.72709
