epoch metrics/precision(B) metrics/recall(B) metrics/mAP50(B) metrics/mAP50-95(B)
325 0.77605 0.83279 0.82722 0.7047
326 0.77529 0.82675 0.82626 0.69991
327 0.76476 0.83537 0.82514 0.69862
328 0.7744 0.82459 0.8246 0.70127
329 0.76927 0.8271 0.82301 0.70084
330 0.78188 0.81062 0.82536 0.70406
331 0.78046 0.81002 0.82499 0.70167
332 0.78058 0.81167 0.82228 0.69928
333 0.78212 0.81465 0.82274 0.7007
334 0.78841 0.80949 0.8236 0.70136
335 0.77856 0.81912 0.82133 0.69887
336 0.80701 0.78829 0.81912 0.69684
337 0.78189 0.81385 0.81832 0.69525
338 0.76816 0.84073 0.81958 0.69728
339 0.77762 0.83097 0.82024 0.6993
340 0.78085 0.82967 0.82243 0.69993
341 0.78775 0.80447 0.81901 0.69808
342 0.78191 0.80853 0.81745 0.69768
343 0.78353 0.80688 0.81734 0.6985
344 0.77856 0.81021 0.81901 0.69885
345 0.78284 0.81155 0.81858 0.70012
346 0.80985 0.79776 0.82035 0.70212
347 0.81353 0.79366 0.82108 0.70056
348 0.81436 0.79173 0.82108 0.69963
349 0.81149 0.78697 0.81971 0.69752
